person_id,movie_id
380,9535
380,9566
380,9992
380,10555
380,11005
380,11096
380,11371
380,11416
380,11778
380,11978
380,23631
380,26171
380,39451
380,49021
380,51876
380,62838
380,64807
380,75638
380,82693
380,87567
380,112205
380,122800
380,137093
380,184341
380,257211
380,274479
380,291870
380,336004
380,363992
380,398978
380,425001
380,466420
380,475557
380,664469
380,829051
380,977262
380,977294
380,1013601
381,68
381,920
381,1878
381,10780
381,13934
381,36819
382,68
382,853
382,856
382,879
382,1249
382,2148
382,2928
382,4587
382,7303
382,8066
382,9607
382,10027
382,12104
382,13460
382,14807
382,17979
382,21032
382,25988
382,58595
383,68
383,583
383,623
383,762
383,4543
383,36819
383,51052
383,402897
385,68
385,768
385,2666
385,2977
385,10481
386,68
386,994
386,1245
386,2196
386,10376
386,12537
386,36819
386,59210
387,68
387,4226
387,6878
387,11896
388,68
388,217
388,411
388,634
388,767
388,824
388,2309
388,3131
388,4638
388,9320
388,9449
388,9801
388,9928
388,10204
388,11411
388,14175
388,16455
388,18320
388,29339
388,51052
388,71688
388,83542
388,95610
388,116149
388,167073
388,230179
388,258489
388,328589
388,346648
388,448119
388,516729
388,520360
388,1069905
388,1272149
389,504172
397,204
398,64
399,64
399,267
399,8088
400,64
400,907
400,2926
400,6028
400,6537
400,7978
400,10435
400,10436
400,13461
400,19173
400,80278
400,168705
400,351286
402,64
404,6557
404,11852
404,16996
404,18126
404,238615
408,11153
417,69
417,10184
417,11820
417,34653
417,38843
417,49022
417,269149
417,297270
417,1084242
418,69
418,280
418,1265
418,2142
418,3683
418,8872
418,8975
418,9276
418,9471
418,9879
418,10054
418,12095
418,15613
418,54445
418,59961
418,77805
418,82682
418,87825
418,109431
418,226857
418,271185
418,517909
418,529983
418,553604
418,635744
418,645788
418,949484
419,69
420,69
421,69
422,69
424,69
424,5176
424,75174
424,152532
424,504562
424,661374
426,69
426,10439
427,69
427,59115
427,70160
427,238615
427,651070
429,18126
429,86825
429,115348
429,246655
429,262841
429,290555
429,293796
429,1060090
448,70
448,226
448,320
448,1646
448,1683
448,2046
448,6023
448,9341
448,9676
448,10206
448,11231
448,50671
448,62838
448,264656
448,399170
448,505948
448,514847
448,549514
448,974036
449,70
449,4964
449,7446
449,10191
449,27022
449,34016
449,47626
449,49014
449,74387
449,79379
449,82702
449,91417
449,97020
449,109414
449,166428
449,209247
449,298115
449,336890
449,638507
449,914215
449,1016084
450,70
450,25405
450,41154
450,417870
450,429415
450,514439
450,542417
450,549514
450,578189
450,646389
450,704239
450,800345
450,1249289
451,70
452,70
452,687
452,6435
452,6575
452,7839
452,10468
452,10922
452,18126
452,21208
452,39486
452,109491
452,236751
452,260514
452,353069
452,491418
452,804150
453,70
453,9682
453,13596
453,18405
453,324849
453,396461
453,546554
453,1062215
454,70
454,1640
454,1852
454,7485
454,44943
454,50348
454,59108
454,62206
454,65650
454,77016
454,77950
454,82682
454,102899
454,157544
454,168672
454,228150
454,259611
454,274862
454,286217
454,335360
454,345920
454,363088
454,406759
454,407451
454,417644
454,429351
454,429415
454,499701
454,504172
454,539537
454,587807
454,620725
454,791155
454,1002185
454,1101448
454,1197306
477,71
477,672
477,673
477,2977
477,11631
477,45772
477,62177
477,116149
477,167073
477,346648
477,370567
477,400650
477,458423
477,516729
477,521034
478,71
478,254
478,3683
478,8247
478,13813
478,17578
478,29339
478,38684
478,49494
478,49527
478,110415
478,166424
478,249397
478,504608
478,542417
478,567189
478,994108
479,71
480,71
480,2486
480,3131
480,9763
480,9905
480,37861
480,609681
481,71
482,71
486,4538
486,10315
488,39513
488,150354
488,1308619
491,1308619
493,150354
500,74
500,180
500,227
500,334
500,345
500,380
500,616
500,628
500,744
500,881
500,954
500,955
500,956
500,1538
500,1903
500,2119
500,2253
500,2604
500,7446
500,7520
500,9346
500,9390
500,11259
500,11873
500,11976
500,37233
500,37834
500,56292
500,75612
500,75780
500,80585
500,137113
500,177677
500,282035
500,337170
500,343611
500,353081
500,361743
500,575264
500,575265
501,74
501,9509
501,9986
501,10588
501,10950
501,11096
501,12837
501,13455
501,14836
501,14926
501,18239
501,20760
501,24021
501,50620
501,258284
501,324560
501,338768
501,466272
501,926393
501,1086747
502,74
502,121
502,122
502,2655
502,8741
502,11866
502,100241
502,264656
502,396422
502,527261
502,839033
502,1008042
503,74
503,11081
503,14164
503,417644
504,74
504,243
504,278
504,322
504,744
504,1073
504,2067
504,2179
504,2291
504,6795
504,9989
504,10403
504,10658
504,11676
504,11934
504,13600
504,44912
504,552178
508,1505898
511,1091
514,75
514,268
514,510
514,624
514,694
514,829
514,881
514,1422
514,2898
514,5955
514,6069
514,6964
514,7350
514,9506
514,10395
514,11027
514,11050
514,18254
514,24452
514,31655
514,32669
514,42888
515,75
515,859
515,2259
515,9772
515,9890
515,10481
515,10982
515,10998
515,11393
515,11674
515,12560
515,15657
515,37135
515,38718
515,57089
515,118340
515,340613
515,375366
515,406990
515,419835
